nsbpid,nsbsid,nsinconset,nsgpslat,nsgpslong,nsmalename,nsfemalename,nseggs,nschicks,nsfledglings,nsoffspring,nschickid1,nschickid2,nschickid3,nspredationtype,nsnestnomale,nsnestnofemale,m_bicohort,m_biageclass,f_bicohort,f_biageclass,m_bibandcombo,f_bibandcombo
FroGo-,2022/2023,55,-41.2967,174.74557,Frodo,Go-go,3,3,3,3,BP24519,BP24520,BP24521,None,3,3,2020/2021,J,2015/2016,A,RG-PM,PBM-GO
GhoFlo,2019/2020,49,-41.30085499,174.745591,Ghost,Florence,2,0,0,0,,,,None,1,1,2018/2019,P,2015/2016,A,OM-RY,PBM-PBB
GhoFlo,2019/2020,74,-41.30097804,174.745431,Ghost,Florence,2,2,2,2,BP19447,BP19446,,None,2,2,2018/2019,P,2015/2016,A,OM-RY,PBM-PBB
GimTyu,2022/2023,7,-41.30044,174.74315,Gimli,Tyuk,2,2,2,0,BP22892,BP22894,,None,1,1,2021/2022,P,2019/2020,A,YR-GM,SM-WS
GobGo-,2016/2017,30,-41.29736803,174.744867,Gobbler,Go-go,2,1,1,1,BP13844,,,None,1,1,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2017/2018,0,-41.29758102,174.745167,Gobbler,Go-go,2,2,2,2,BP11361,BP11362,,None,1,1,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2017/2018,62,-41.297333,174.745216,Gobbler,Go-go,2,2,2,2,BP17434,BP17436,,None,2,2,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2018/2019,0,-41.297491,174.74505,Gobbler,Go-go,2,2,2,2,BP17551,BP17553,,None,1,1,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2018/2019,50,-41.29752603,174.744945,Gobbler,Go-go,2,2,2,1,BP17579,BP17580,,None,2,2,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2019/2020,13,-41.29686696,174.745289,Gobbler,Go-go,2,2,2,2,BP19349,BP19350,,None,1,1,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2020/2021,0,-41.29684903,174.745594,Gobbler,Go-go,2,2,2,1,BP19481,BP19482,,None,1,1,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2020/2021,57,-41.29617998,174.745168,Gobbler,Go-go,2,2,2,2,BP19413,BP19414,,None,2,2,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GobGo-,2020/2021,112,-41.29697199,174.745075,Gobbler,Go-go,2,0,0,0,NA,,,None,3,3,2014/2015,P,2015/2016,A,BR-GM,PBM-GO
GokBul,2022/2023,101,-41.3015,174.7439,Goku,Bulma,2,2,2,1,BP24564,BP24565,,None,1,3,2021/2022,A,2018/2019,P,OS-GM,RY-OM
GomKur,2022/2023,30,-41.29983,174.74409,Gomez,Kura,2,2,2,2,BP24526,BP24527,,None,1,1,2021/2022,FL,2019/2020,A,GM-WK,RS-SM
GraBin,2017/2018,34,-41.29897602,174.746152,Gramps,Bingley,2,2,2,2,BP11388,BP11389,,None,1,1,2009/2010,U,2012/2013,A,BM-YW,PBY-YM
GraNem,2021/2022,36,-41.29882,174.74687,Gramps,Nemo,2,2,2,2,BP22852,BP22853,,None,1,1,2009/2010,U,2020/2021,P,BM-YW,PM-BG
GraPea,2020/2021,19,-41.29907199,174.746333,Gramps,Peaches,2,2,2,2,BP19493,BP19494,,None,1,1,2009/2010,U,2018/2019,P,BM-YW,WR-OM
GraPea,2020/2021,79,-41.29897401,174.74661,Gramps,Peaches,2,2,2,2,BP22769,BP22767,,None,2,2,2009/2010,U,2018/2019,P,BM-YW,WR-OM
GraSki,2018/2019,39,-41.29923997,174.746516,Gramps,Skip,2,2,2,2,BP17557,BP17558,,None,1,1,2009/2010,U,2017/2018,A,BM-YW,WY-PGM
GraSki,2019/2020,31,-41.29899404,174.746707,Gramps,Skip,2,1,1,1,BP19409,,,None,1,1,2009/2010,U,2017/2018,A,BM-YW,WY-PGM
GraYoo,2015/2016,68,-41.29871299,174.746704,Gramps,Yoobee,2,1,1,0,BP10196,,,None,1,1,2009/2010,U,2012/2013,A,BM-YW,UB-UB
GraYoo,2016/2017,24,-41.299261,174.746761,Gramps,Yoobee,2,1,1,1,BP13842,,,None,1,1,2009/2010,U,2012/2013,A,BM-YW,UB-UB
GumOri,2022/2023,28,-41.29781,174.74519,Gumball,Orio,2,0,0,0,,,,E,1,1,2021/2022,P,2018/2019,P,GM-BY,OR-OM
GuyLun,2021/2022,29,-41.30176,174.74635,Guyfawkes,Luna,2,2,2,2,BP22793,BP22794,,None,1,1,2018/2019,P,2019/2020,FL,YY-OM,SM-KW
GuyLun,2022/2023,0,-41.30192,174.74582,Guyfawkes,Luna,0,0,0,0,,,,None,1,1,2018/2019,P,2019/2020,FL,YY-OM,SM-KW
